airport,dep_time_blk,recommended_buffer_min,mean_alpha,pct_alpha_below_02,event_count,data_source
FCA,1100-1159,14.4,18.282389162561575,0.407,145,cell
FCA,1200-1259,25.2,12.317765769997454,0.254,287,cell
FCA,1300-1359,15.8,7.736483052095297,0.422,147,cell
FCA,1400-1459,20.3,10.386958288701859,0.411,414,cell
FCA,1500-1559,30.3,14.949062049062048,0.182,55,cell
FCA,1600-1659,19.8,7.890638810596688,0.476,168,cell
FCA,1700-1759,19.8,11.167956403462883,0.482,390,cell
FCA,1800-1859,8.2,4.540046296296296,0.506,180,cell
FCA,1900-1959,15.9,5.8595724003887275,0.551,49,cell
FCA,2000-2059,13.0,6.529952686202686,0.188,16,cell
FCA,2100-2159,11.6,5.338805904961565,0.415,53,cell
FCA,2200-2259,17.4,9.175922066924521,0.449,8,airport_fallback
FLG,0001-0559,11.4,4.027388649425287,0.586,87,cell
FLG,0600-0659,15.0,12.899598393574298,0.506,83,cell
FLG,0700-0759,21.0,10.535479397949665,0.46,139,cell
FLG,0800-0859,14.2,5.292438505921652,0.506,89,cell
FLG,1000-1059,19.7,11.021890376269669,0.341,167,cell
FLG,1100-1159,11.9,14.159143635469682,0.426,108,cell
FLG,1200-1259,13.5,5.796203927649824,0.409,93,cell
FLG,1300-1359,14.0,9.766458761868062,0.48,127,cell
FLG,1400-1459,11.5,9.258319694489908,0.513,39,cell
FLG,1500-1559,14.0,8.645411730551366,0.475,1,airport_fallback
FLG,1700-1759,11.4,2.7806741573033706,0.44,25,cell
FLG,1800-1859,9.0,5.093786982248521,0.59,156,cell
FLG,1900-1959,6.8,2.1333333333333333,0.533,15,cell
FLG,2100-2159,14.0,8.645411730551366,0.475,1,airport_fallback
FLG,2200-2259,14.0,8.645411730551366,0.475,1,airport_fallback
FLL,0001-0559,13.8,4.989401665809299,0.608,766,cell
FLL,0600-0659,18.0,7.509517138377861,0.544,5235,cell
FLL,0700-0759,19.4,8.31664008796889,0.524,6151,cell
FLL,0800-0859,19.2,8.847188603034782,0.461,3147,cell
FLL,0900-0959,23.2,11.310820408331843,0.299,2078,cell
FLL,1000-1059,22.0,11.225762303711281,0.252,1903,cell
FLL,1100-1159,24.8,12.992550466916546,0.248,4355,cell
FLL,1200-1259,22.0,11.361681394330208,0.297,3405,cell
FLL,1300-1359,26.6,15.239871181449232,0.274,3342,cell
FLL,1400-1459,27.1,15.131389982357842,0.259,3569,cell
FLL,1500-1559,27.2,14.849901674975975,0.297,3501,cell
FLL,1600-1659,32.8,18.106138040601163,0.282,3491,cell
FLL,1700-1759,26.0,13.472633843447392,0.308,3952,cell
FLL,1800-1859,28.8,14.004332491689173,0.307,4128,cell
FLL,1900-1959,25.4,12.071086938807976,0.39,4465,cell
FLL,2000-2059,28.7,13.959653788634444,0.356,4984,cell
FLL,2100-2159,22.8,11.308759917869459,0.409,1670,cell
